locMergedLongLatCarr.TICKET_FARE,locMergedLongLatCarr.Carrier_Frequency_Normalized,locMergedLongLatCarr.Destin_Normalized,locMergedLongLatCarr.Origin_Normalized,locMergedLongLatCarr.Base_Fare_Normalized,locMergedLongLatCarr.Month_Standardization,locMergedLongLatCarr.DAYS_Standardized,locMergedLongLatCarr.Seats_Normalized,locMergedLongLatCarr.DATE_OF_TRAVEL,locMergedLongLatCarr.DATE_OF_PRICEFALL,locMergedLongLatCarr.Carrier_Name,locMergedLongLatCarr.Origin_Loc_Name,locMergedLongLatCarr.Dest_Loc_Name,locMergedLongLatCarr.Origin_Lat,locMergedLongLatCarr.Origin_Long,locMergedLongLatCarr.Destination_Lat,locMergedLongLatCarr.Destination_Long,locMergedLongLatCarr.MONTH_OF_TRAVEL,DAY_OF_TRAVEL,locMergedLongLatCarr.MONTH_OF_PRICEFALL,DAY_OF_PRICEFALL
175.2790902,1.4575735,-0.891020107,1.714817647,0.430853315,-0.499862,0.215883,0.253867323,1/22/2015,1/19/2015,Southwest Airlines,Dallas TX,Baltimore MD,32.84694444,-96.85333333,39.17555556,-76.67138889,1,22,1,19
182.3556082,-0.445361782,-0.772795218,0.056793072,1.049386617,0.500138,-0.350783667,0.171160556,3/5/2015,12/15/2014,US Air,Denver CO,Philadelphia PA,39.77444444,-104.8797222,39.86805556,-75.24861111,3,5,12,15
84.50357219,0.035414231,-0.867375129,-0.292264733,-0.858025853,0.500138,0.182549667,-0.279967263,3/21/2015,10/27/2014,American Airlines,Las Vegas NV,Los Angeles CA,36.08,-115.1522222,33.9425,-118.4080556,3,21,10,27
191.4491254,0.790489189,-0.630925351,0.813084983,0.764805462,-0.499776,-0.0555272,-0.152147714,4/14/2015,3/7/2015,United Airlines,Houston TX,Newark NJ,29.98333333,-95.34,40.69583333,-74.17166667,4,14,3,7
81.83890408,0.790489189,-0.843730151,-1.019468494,-0.459993606,0.500138,-0.084117,0.050859805,3/13/2015,2/5/2015,United Airlines,Atlanta GA,Houston TX,33.64083333,-84.42722222,29.98333333,-95.34,3,13,2,5
84.82690643,1.4575735,-0.181670772,0.725820532,-0.345446023,0.000138,-0.184117,-0.189741699,2/10/2015,10/21/2014,Southwest Airlines,Nashville TN,Austin TX,36.12666667,-86.68194444,30.19444444,-97.67,2,10,10,21
114.7112445,2.572159985,-0.914665085,1.627553196,-0.366566466,-0.499776,0.277806133,-0.051897088,4/24/2015,2/20/2015,Delta Airlines,Des Moines IA,Atlanta GA,41.53388889,-93.65666667,33.64083333,-84.42722222,4,24,2,20
180.2345718,2.572159985,-0.914665085,0.347674576,1.083776395,0.500138,-0.017450333,0.298980105,3/15/2015,12/10/2014,Delta Airlines,Salt Lake City UT,Atlanta GA,40.78416667,-111.9669444,33.64083333,-84.42722222,3,15,12,10
192.6735969,1.4575735,-0.394475573,0.754908683,0.858987446,-0.499776,0.0444728,-0.099516135,4/17/2015,4/10/2015,Southwest Airlines,San Jose CA,San Antonio TX,37.36277778,-121.9405556,29.53333333,-98.46944444,4,17,4,10
82.34709893,2.572159985,-0.654570329,1.540288744,-0.858025853,0.000138,-0.484117,-0.019315634,2/1/2015,11/26/2014,Delta Airlines,Harrisburg PA,Detroit MI,40.19305556,-76.76222222,42.21666667,-83.34444444,2,1,11,26
58.27323248,2.572159985,-0.252605706,-0.321352884,-0.762057508,0.500138,-0.317450333,0.384193138,3/6/2015,2/25/2015,Delta Airlines,Jacksonville FL,New Orleans LA,30.48472222,-81.68777778,29.99111111,-90.25138889,3,6,2,25
111.4009047,0.790489189,-0.843730151,0.55129163,-0.165352218,0.500138,-0.484117,0.276423714,3/1/2015,12/15/2014,United Airlines,Fort Myers FL,Houston TX,26.53611111,-81.755,29.98333333,-95.34,3,1,12,15
264.3100691,0.790489189,-0.701860284,-0.175912131,2.36903757,0.000138,0.282549667,-0.182222902,2/24/2015,11/19/2014,United Airlines,San Francisco CA,Kahului HI,37.61888889,-122.375,20.90055556,-156.4336111,2,24,11,19
